dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
moons,1,2-rectified,euler,64,64,0.02874436043202877,0.4287532909947913
moons,1,2-rectified,euler,128,128,0.028701715171337128,0.8577043749974109
moons,1,2-rectified,heun,1,2,0.03135475143790245,0.013408459009951912
moons,1,2-rectified,heun,2,4,0.03023911826312542,0.026274957999703474
moons,1,2-rectified,heun,4,8,0.029411710798740387,0.053727667007478885
moons,1,2-rectified,heun,8,16,0.028947189450263977,0.10743641600129195
moons,1,2-rectified,heun,16,32,0.028832120820879936,0.21191374999762047
moons,1,2-rectified,heun,32,64,0.028719643130898476,0.4258414579962846
moons,1,2-rectified,heun,64,128,0.028656862676143646,0.8514356250088895
moons,1,2-rectified,rk4,1,4,0.029864931479096413,0.026847249988350086
moons,1,2-rectified,rk4,2,8,0.02910229191184044,0.052765792002901435
moons,1,2-rectified,rk4,4,16,0.02877575159072876,0.1059007500007283
moons,1,2-rectified,rk4,8,32,0.028789330273866653,0.2121630420006113
moons,1,2-rectified,rk4,16,64,0.028679227456450462,0.42761450000398327
moons,1,2-rectified,rk4,32,128,0.02863551490008831,0.9593151669978397
moons,1,diffusion-vp,euler,1,1,0.9796375632286072,0.00753829198947642
moons,1,diffusion-vp,euler,2,2,0.4033121168613434,0.015461458009667695
moons,1,diffusion-vp,euler,4,4,0.1810379922389984,0.029575124994153157
moons,1,diffusion-vp,euler,8,8,0.08214839547872543,0.06383287499193102
moons,1,diffusion-vp,euler,16,16,0.04518745094537735,0.1222347080038162
moons,1,diffusion-vp,euler,32,32,0.03148443251848221,0.24916291600675322
moons,1,diffusion-vp,euler,64,64,0.028881484642624855,0.512686667003436
moons,1,diffusion-vp,euler,128,128,0.02943323366343975,0.8495576249988517
moons,1,diffusion-vp,heun,1,2,0.9052601456642151,0.013076041999738663
moons,1,diffusion-vp,heun,2,4,0.2705610692501068,0.02705704199615866
moons,1,diffusion-vp,heun,4,8,0.0761900320649147,0.05236320800031535
moons,1,diffusion-vp,heun,8,16,0.03478769212961197,0.1071192079980392
moons,1,diffusion-vp,heun,16,32,0.031554967164993286,0.21071887500875164
moons,1,diffusion-vp,heun,32,64,0.03072747029364109,0.4391538330091862
moons,1,diffusion-vp,heun,64,128,0.030843907967209816,0.8592651660001138
moons,1,diffusion-vp,rk4,1,4,0.1353987604379654,0.0264379580039531
moons,1,diffusion-vp,rk4,2,8,0.029829850420355797,0.053107333995285444
moons,1,diffusion-vp,rk4,4,16,0.03773513436317444,0.1064494169986574
moons,1,diffusion-vp,rk4,8,32,0.03140019252896309,0.21282112499466166
moons,1,diffusion-vp,rk4,16,64,0.030511725693941116,0.48117545900458936
moons,1,diffusion-vp,rk4,32,128,0.030894603580236435,0.9559090830007335
moons,2,1-rectified,euler,1,1,1.8545275926589966,0.010542417003307492
moons,2,1-rectified,euler,2,2,0.7901002168655396,0.016265958998701535
moons,2,1-rectified,euler,4,4,0.37247464060783386,0.03143704199464992
moons,2,1-rectified,euler,8,8,0.19535915553569794,0.06324095799936913
moons,2,1-rectified,euler,16,16,0.10831368714570999,0.1247640829969896
moons,2,1-rectified,euler,32,32,0.06424245238304138,0.2597503749857424
moons,2,1-rectified,euler,64,64,0.04396742954850197,0.48966641700826585
moons,2,1-rectified,euler,128,128,0.03529047966003418,0.8556919169932371
moons,2,1-rectified,heun,1,2,1.3870584964752197,0.012875707994680852
moons,2,1-rectified,heun,2,4,0.2400577962398529,0.0269854590005707
moons,2,1-rectified,heun,4,8,0.05694597586989403,0.05279541699565016
moons,2,1-rectified,heun,8,16,0.03347944840788841,0.1063849170022877
moons,2,1-rectified,heun,16,32,0.03148983418941498,0.21648070799710695
moons,2,1-rectified,heun,32,64,0.030350344255566597,0.4305592919990886
moons,2,1-rectified,heun,64,128,0.02966146171092987,0.851431874994887
moons,2,1-rectified,rk4,1,4,0.1709749549627304,0.02720504198805429
moons,2,1-rectified,rk4,2,8,0.038057468831539154,0.05355829199834261
moons,2,1-rectified,rk4,4,16,0.029692022129893303,0.10623616600059904
moons,2,1-rectified,rk4,8,32,0.031259093433618546,0.21521912500611506
moons,2,1-rectified,rk4,16,64,0.03004012256860733,0.43260804199962877
moons,2,1-rectified,rk4,32,128,0.029442232102155685,0.8519353330048034
